id,customer_id,create_timestamp,name,name_lower,description,archiving_timestamp
614,1,2018-05-31 19:29:16,0190 - Big Data Program - IMS Campaign,0190 - big data program - ims campaign,,
615,1,2018-06-01 18:16:50,0188 - AlarmForce Offer (promo) Compliance,0188 - alarmforce offer (promo) compliance,,
616,1,2018-06-04 18:11:21,0209 - SAS DI Training and Dev,0209 - sas di training and dev,,
617,1,2018-06-05 13:15:12,0183 - GalCP Decomm,0183 - galcp decomm,,
618,1,2018-06-05 13:23:53,0177 - GalCP Decomm,0177 - galcp decomm,,
619,1,2018-06-11 20:41:03,MTS Integration,mts integration,,
620,1,2018-06-18 20:58:06,0188 - MTS In-Context Grand Maison Integration,0188 - mts in-context grand maison integration,,
621,1,2018-06-20 14:35:47,0207 - FSBI - MTS Field BI Integration,0207 - fsbi - mts field bi integration,,
622,1,2018-06-20 16:47:12,0200 - Big Data Program - FoNSE Endpoints,0200 - big data program - fonse endpoints,,
623,1,2018-06-20 19:31:37,0197 - BI Enhancements Program,0197 - bi enhancements program,,
624,1,2018-06-26 19:11:45,0200 - MTS Field BI integration,0200 - mts field bi integration,,
625,1,2018-06-27 14:42:50,0213 - Dataload from SAP to Teradata (IFRS),0213 - dataload from sap to teradata (ifrs),,
626,1,2018-06-27 14:43:33,0213 - SAS Apollo / SAP HANA ODBC connection,0213 - sas apollo / sap hana odbc connection,,
627,1,2018-06-29 17:55:08,0184 - Targeted Rate Plans in NBA,0184 - targeted rate plans in nba,,
628,25,2018-07-03 12:39:44,0007 - Ad Hoc Support - Phase 6,0007 - ad hoc support - phase 6,,
629,1,2018-07-13 18:13:40,0188 - Big Data Program - MediaFirst,0188 - big data program - mediafirst,,
630,1,2018-07-13 18:17:02,0188 - Big Data Program - FSBI,0188 - big data program - fsbi,,
631,1,2018-07-13 18:19:27,0188 - Big Data Program - Smart Data,0188 - big data program - smart data,,
632,50,2018-07-24 14:00:56,0002 - Hosted MicroStrategy Environment,0002 - hosted microstrategy environment,,
633,50,2018-07-24 14:06:53,0002 - Migration to Hosting and Upgrade,0002 - migration to hosting and upgrade,,
636,1,2018-08-03 16:03:49,0179 - Cross LOB Sales (Roman) - CL1,0179 - cross lob sales (roman) - cl1,,
637,49,2018-08-03 17:29:34,0003 - Governance Project,0003 - governance project,,
638,1,2018-08-09 15:46:12,0214 - Incontext & BPI Automation,0214 - incontext & bpi automation,,
639,1,2018-08-10 15:01:26,0215 - Retail Enhancements - 2018,0215 - retail enhancements - 2018,,
640,1,2018-08-13 14:04:28,0207 - Mediafirst Data Parity,0207 - mediafirst data parity,,
642,1,2018-08-20 15:26:55,0216 - BI Enhancement Ph03,0216 - bi enhancement ph03,,
643,1,2018-08-20 15:30:25,0217 - MTS In-Context / GM Integration,0217 - mts in-context / gm integration,,
644,49,2018-08-21 19:05:09,0006 - Project Management Services,0006 - project management services,,
645,49,2018-08-21 19:49:53,0007 - Data & Analytics - Genome - Data Engineer,0007 - data & analytics - genome - data engineer,,
646,1,2018-08-24 17:17:46,0162 - Bell Media BA - Big Data - CL2 (Edward and Moody),0162 - bell media ba - big data - cl2 (edward and moody),,
647,49,2018-08-28 18:24:16,0005 - Governance,0005 - governance,,
648,49,2018-08-28 18:29:25,0005 - Snowplow,0005 - snowplow,,
649,49,2018-08-28 18:32:16,0005 - TapAnalytics,0005 - tapanalytics,,
650,49,2018-08-28 18:33:17,0005 - Security and Privacy,0005 - security and privacy,,
651,1,2018-08-29 14:47:17,0218 - Big Data Program 2018,0218 - big data program 2018,,
652,1,2018-08-29 14:55:21,0220 - MediaFirst Extension,0220 - mediafirst extension,,
653,1,2018-08-29 14:59:31,0221 - MTS Integration,0221 - mts integration,,
654,1,2018-08-29 15:06:47,0219 - FoNSE 2018 Program,0219 - fonse 2018 program,,
655,8,2018-09-05 15:45:25,0003 - SRED - Metadata 2018,0003 - sred - metadata 2018,,
656,1,2018-09-07 17:39:55,0212 - D2D / DSB – MSTR Development,0212 - d2d / dsb – mstr development,,
657,1,2018-09-07 21:55:06,0160 - Omnia Program ClL1 (Igor),0160 - omnia program cll1 (igor),,
658,1,2018-09-12 13:31:57,0221 - Pulse Migration & Upgrade,0221 - pulse migration & upgrade,,
659,1,2018-09-12 14:03:09,0221 - Pack Rat (Data Retention),0221 - pack rat (data retention),,
660,1,2018-09-12 14:04:25,0221 - FSBI Mandate,0221 - fsbi mandate,,
661,1,2018-09-12 14:05:27,0221 - Media First,0221 - media first,,
662,1,2018-09-12 14:07:13,0221 - Smart Data,0221 - smart data,,
663,1,2018-09-12 14:09:40,0221 - FSBI MTS,0221 - fsbi mts,,
664,1,2018-09-12 14:12:46,0221 - Big Data Infrastructure Project,0221 - big data infrastructure project,,
665,1,2018-09-12 14:20:01,0221 - Pulse Security,0221 - pulse security,,
666,1,2018-09-12 17:22:24,0219 - Media First,0219 - media first,,
667,40,2018-09-17 17:18:13,0004 - Managed Services,0004 - managed services,,
668,1,2018-09-17 19:36:33,0201 - MSTR Maintenance & Support,0201 - mstr maintenance & support,,
669,1,2018-09-18 14:26:27,0219 - Campaign Analytics,0219 - campaign analytics,,
670,1,2018-09-18 14:28:47,0219 - Big Data Infra - FSBI,0219 - big data infra - fsbi,,
671,1,2018-09-18 14:31:38,0219 - Big Data Infra - ML GPU,0219 - big data infra - ml gpu,,
672,1,2018-09-18 14:33:57,0219 - Big Data Infra - Bond,0219 - big data infra - bond,,
673,1,2018-09-18 14:40:33,0219 - Big Data Infra - MediaFirst,0219 - big data infra - mediafirst,,
674,1,2018-09-18 14:43:59,0219 - Big Data Infra - Smart Data,0219 - big data infra - smart data,,
675,1,2018-09-21 14:11:43,0222 - EDW Teradata Software Upgrade,0222 - edw teradata software upgrade,,
676,1,2018-10-04 16:53:32,0199 - CL1 - Horizon (Field Services),0199 - cl1 - horizon (field services),,
677,1,2018-10-04 17:09:23,0223 - BIG EDW Program IFRS,0223 - big edw program ifrs,,
678,1,2018-10-04 17:11:34,0224 - Modem Reboot,0224 - modem reboot,,
679,1,2018-10-04 17:13:38,0225 - BIG EDW Program IFRS,0225 - big edw program ifrs,,
680,1,2018-10-04 17:17:03,0226 - BIG Program - NBA Rate Plan,0226 - big program - nba rate plan,,
681,1,2018-10-11 13:56:58,0221 - FoNSE 2018 Program,0221 - fonse 2018 program,,
682,1,2018-10-15 13:16:35,0224 - BIG Program (MDR - IM) IFRS,0224 - big program (mdr - im) ifrs,,
684,49,2018-10-19 15:07:49,0008 - ETL/Visualization acceleration,0008 - etl/visualization acceleration,,
685,1,2018-10-22 12:40:57,0160 - Omnia Program ClL2 (Igor),0160 - omnia program cll2 (igor),,
686,1,2018-10-22 12:57:23,0227 - Big Data Program(Prashant Chopra),0227 - big data program(prashant chopra),,
687,17,2018-11-02 17:15:50,0001 - Database Migration,0001 - database migration,,
688,1,2018-11-20 15:45:49,0228 - Artificial Intelligence & Machine Learning,0228 - artificial intelligence & machine learning,,
689,54,2018-11-20 16:45:44,0001 - Campaign ETL Automation,0001 - campaign etl automation,,
690,8,2018-11-23 17:46:08,0004 - Cloudera Cert Training - Tatiana,0004 - cloudera cert training - tatiana,,
691,8,2018-11-23 17:47:33,0004 - Talend - First Wave Training,0004 - talend - first wave training,,
692,8,2018-11-23 17:48:15,0004 - MSTR Cert Training - Moody,0004 - mstr cert training - moody,,
693,49,2018-11-26 21:00:16,0010 - Tableau Governance and Sec. Administration,0010 - tableau governance and sec. administration,,
694,44,2018-11-27 14:50:02,0001 - Bell Media Heartbeat,0001 - bell media heartbeat,,
695,1,2018-11-28 21:47:29,0226 - Competitive Insights,0226 - competitive insights,,
696,8,2018-11-30 13:52:35,0006 - Demo - Sales Performance,0006 - demo - sales performance,,
697,1,2018-12-19 16:39:39,0221 - MediaFirst Extension,0221 - mediafirst extension,,
698,8,2018-12-22 03:11:53,0001 - Internal Project - Absence App,0001 - internal project - absence app,,
699,1,2019-01-04 14:20:14,0221 - PULSE BBM Migration,0221 - pulse bbm migration,,
700,8,2019-01-06 22:43:53,0004 - MSTR Cert Training 2019,0004 - mstr cert training 2019,,
701,8,2019-01-06 23:44:01,0001 - Quickbooks Upgrade 2019,0001 - quickbooks upgrade 2019,,
702,8,2019-01-07 03:01:53,0001 - Internal Project - Recognition App,0001 - internal project - recognition app,,
703,50,2019-01-11 20:42:59,0003 - Project X Managed Services Environment,0003 - project x managed services environment,,
